Ccode Country
E Europe
AB Azerbaijan
AL Albania
AN Andorra
AR Armenia
AU Austria
AZ Azores
BE Belgium
BH Bosnia Herzegovina
BU Bulgaria
BY Belarus
CR Croatia
CT Russia: Central European Territory
CZ Czech Republic
DE Denmark
EN Estonia
FA Faeroe Islands
FI Finland
FR France (incl. Corsica, Monaco)
GB Great Britain (incl. Channel Islands)
GE Germany
GG Georgia
GR Greece (incl. Crete)
HU Hungary
IC Iceland
IR Ireland
IT Italy (incl. Sardinia, Sicily, San Marino)
KZ Kazakhstan
LA Latvia
LS Liechtenstein
LT Lithuania
LU Luxembourg
MA Malta
MC Macedonia
MD Moldavia
ME Montenegro
NL The Netherlands
NR Norway
NT Russia: North European Territory
PL Poland
PT Portugal
RO Romania
RU Russia
SB Serbia
SK Slovakia
SL Slovenia
SP Spain (incl. Gibraltar)
SR Svalbard (Spitzbergen)
ST Russia: South European Territory
SV Sweden
SZ Switzerland
TR Turkey
UK Ukraine
YU Serbia and Montenegro
KO Kosovo
N North Africa
AG Algeria
CI Canary Islands
EG Egypt
LB Libya
MO Morocco (incl. Western Sahara)
MR Madeira Archipelago
TU Tunisia
A Asia
AE Arab Emirates
AF Afghanistan
AP India: Arunachal Pradesh
BA Bahrain
BT Bhutan
CE China: Central Territory
CH China
CY Cyprus
ES Russia: East Siberia
FE Russia: Far East
HP India: Himachal Pradesh
IN Iran
IQ Iraq
IS Israel
JA Japan
JO Jordan
KA India: Kashmir
KI Kyrgyzstan
KU Kuwait
KZ Kazakhstan
LE Lebanon
MG Mongolia
NE China: Northeast Territory
NC North Korea
NO China: Northern Territory
NP Nepal
NW China: Northwest Territory
OM Oman
PA Pakistan
QA Qatar (incl. United Arab Emirates)
RU Russia
SA Saudi Arabia
SC South Korea
SD India: Sikkim, Darjeeling District
SE China: Southeastern Territory (incl. Macao, Hongkong)
SI Egypt: Sinai
SW China: Southwestern Territory
SY Syria
TD Tajikistan
TM Turkmenistan
TR Turkey
UP India: Uttarakhand (= Uttaranchal
UZ Uzbekistan
WP China: Western Plateau
WS Russia: West Siberia
YE Yemen (incl. Suqutra)
ANH Anhui (Anhwei)
BEI Beijing (Peking or Peiping)
CHQ Chongqing
FUJ Fujian (Fukien)
GAN Gansu (Kansu)
GUA Guangdong(Kwantung)
GUI Guizhou (Kweichow)
GUX Guangxi (Kwangsi)
HAI Hainan
HEB Hebei (Hopeh)
HEI Heilongjiang (Heilungkiang)
HEN Henan (Honana)
HKG Hongkong
HUB Hubei (Hupeh)
HUN Hunan
JIA Jiangsu (Kiangsu)
JIL Jilin (Kirin)
JIX Jiangxi (Kiangsi)
LIA Liaoning
MAC Macao
NIN Ningxia (Ningsia)
NMO Nei Mongol (Inner Mongolia)
QIN Qinghai (Tsinghai)
SCH Sichuan (Szechwan)
SHA Shaanxi (Shensi)
SHG Shanghai
SHN Shandong (Shantung)
SHX Shanxi (Shansi)
TAI Taiwan (Formosa)
TIA Tianjin (Tsiensin)
XIN Xinjiang (Sinkiang)
XIZ Xizang (Tibet)
YUN Yunnan
ZHE Zhejiang (Chekiang)
AFR Afrotropical Region
AUR Australian Region
NAR Nearctic Region
NTR Neotropical Region
ORR Oriental Region
